step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.027058995328843594,diart_style_online_assign,6,6,0,0,15,6,0,0,6,0,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
12,0.046276021748781204,diart_style_online_assign,12,12,0,0,51,12,0,0,12,0,6,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7142857142857143,0.8333333333333334,0.03333333333333333,1.0,0.7441860465116279,0.9224125218058654
18,0.03509991802275181,diart_style_online_assign,18,18,0,0,89,18,0,0,18,0,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.631578947368421,0.6666666666666666,0.05185185185185185,1.0,0.6003616636528029,0.8399529372612872
24,0.039492035284638405,diart_style_online_assign,24,24,0,0,131,24,0,0,24,0,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.65,0.7222222222222222,0.058333333333333334,1.0,0.6339522546419099,0.8387591838447205
30,0.04296994302421808,finalize,30,30,0,0,173,30,0,0,30,0,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7666666666666667,0.06133333333333333,1.0,0.6635308874255252,0.8436274942317233
