step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.020778970792889595,diart_style_online_assign,6,6,0,0,15,6,0,0,6,6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
12,0.03418303094804287,diart_style_online_assign,12,12,0,0,51,12,0,0,12,6,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7142857142857143,0.8333333333333334,0.03333333333333333,1.0,0.7441860465116279,0.9224125218058654
18,0.06721797399222851,diart_style_online_assign,18,18,0,0,89,18,0,0,18,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.631578947368421,0.6666666666666666,0.05185185185185185,1.0,0.6003616636528029,0.8399529372612872
24,0.055141979828476906,diart_style_online_assign,24,24,0,0,131,24,0,0,24,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.65,0.7222222222222222,0.058333333333333334,1.0,0.6339522546419099,0.8387591838447205
30,0.04401989281177521,diart_style_online_assign,30,30,0,0,173,30,0,0,30,7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7666666666666667,0.06133333333333333,1.0,0.6635308874255252,0.8436274942317233
