step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,2.9732969705946743,full_recluster,80,80,80,0,85320,0,80,0,0,0,1774.0625445148908,1599.4314319686964,0,0,0,0.0,2,0.25,0.8695652173913043,0.3,0.7874015748031497,0.20242914979757085,0.010127531882970742,0.2875,0.16402999134893945,0.40526235066097793
160,7.944824988953769,full_recluster,160,160,160,0,682640,0,160,0,0,0,2166.4765208261088,1599.4314319686964,0,0,0,0.0,5,0.4125,0.8461538461538461,0.41875,0.7287784679089027,0.3427458617332035,0.024564035252203263,0.4875,0.3122145798236236,0.5626368931157787
240,13.932603993453085,full_recluster,240,240,240,0,2303960,0,240,0,0,0,3004.035923629999,1599.4314319686964,0,0,0,0.0,6,0.4583333333333333,0.9243697478991597,0.4583333333333333,0.9538461538461539,0.31794871794871793,0.003,0.49583333333333335,0.30348861944267175,0.5815255898334033
320,22.077316010836512,full_recluster,320,320,320,0,5461280,0,320,0,0,0,4433.33291268209,1599.4314319686964,0,0,0,0.0,11,0.509375,0.8578947368421053,0.509375,0.9971172325432415,0.3717458801050872,0.00021094079594993672,0.59375,0.3853520012099556,0.6398605610352217
400,32.08390495274216,full_recluster,400,400,400,0,10666600,0,400,0,0,0,6674.988454964478,1599.4314319686964,0,0,0,0.0,12,0.43,0.8269230769230769,0.43,0.9981208053691275,0.2830820770519263,0.0001050010500105001,0.52,0.27831180583613313,0.5735142538242277
480,44.113509997259825,full_recluster,480,480,480,0,18431920,0,480,0,0,0,9715.507120010443,1599.4314319686964,0,0,0,0.0,12,0.49166666666666664,0.8027210884353742,0.49166666666666664,0.9985283296541575,0.35785864978902954,0.00010416666666666667,0.6125,0.3815687508042493,0.6318005701075468
560,56.39165500178933,full_recluster,560,560,560,0,29269240,0,560,0,0,0,13732.24499198841,1599.4314319686964,0,0,0,0.0,13,0.5071428571428571,0.8114285714285714,0.5071428571428571,1.0,0.38160439390423145,0.0,0.625,0.40849404471761414,0.6467673653730339
600,65.01105899224058,finalize,600,600,600,0,35999900,0,600,0,0,0,16188.802908174694,1599.4314319686964,0,0,0,0.0,15,0.5116666666666667,0.8015665796344648,0.5116666666666667,1.0,0.38814814814814813,0.0,0.6383333333333333,0.4187918316207947,0.6497839786830907
