step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.2106650499626994,adaptive_fishdbc_async_buffer,80,80,80,0,444,49,0,11,49,0,207.09741406608373,10.532342013902962,1,8,0.9625,1.0,0.9625,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
160,0.19649008754640818,adaptive_fishdbc_async_buffer,160,160,160,0,1045,120,0,20,120,0,557.230919948779,14.86463996116072,1,8,0.89375,1.0,0.89375,1.0,0.7955128205128205,0.0,0.89375,0.8341826364692219,0.8719336561814763
240,0.27800200041383505,adaptive_fishdbc_async_buffer,240,240,240,0,1685,196,0,24,196,0,1057.3351021157578,14.86463996116072,1,8,0.9291666666666667,1.0,0.9291666666666667,1.0,0.8629470672389127,0.0,0.9291666666666667,0.8998091854331832,0.9087065307399989
320,0.367230037227273,finalize,320,320,320,0,2325,269,0,31,269,0,1743.9500000327826,14.86463996116072,1,8,0.915625,1.0,0.915625,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
