step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.7720449939370155,full_recluster,6,6,6,0,0,0,6,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.8806500118225813,full_recluster,12,12,12,0,0,0,12,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,1.046610064804554,full_recluster,18,18,18,0,0,0,18,0,0,2,0.3333333333333333,0.4,0.4444444444444444,0.18840579710144928,0.7222222222222222,0.4148148148148148,0.8333333333333334,0.15136876006441224,0.49290132379522683
24,1.138889929279685,full_recluster,24,24,24,0,0,0,24,0,0,5,0.7083333333333334,0.9444444444444444,0.75,0.84,0.5833333333333334,0.016666666666666666,0.75,0.5729442970822282,0.7771288672089345
30,1.1768400436267257,full_recluster,30,30,30,0,0,0,30,0,0,5,0.7333333333333333,0.9565217391304348,0.7666666666666667,0.8837209302325582,0.6333333333333333,0.013333333333333334,0.7666666666666667,0.6614785992217899,0.805239207182306
