step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,3.4233980113640428,adaptive_fishdbc_async_risk_flush,80,80,64,0,0,0,0,60,0,0,160.9607763821259,6.39356195461005,4,2,65,151.6410611802712,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
160,5.033651948906481,adaptive_fishdbc_async_risk_flush,160,160,143,0,0,0,0,140,0,0,489.298781263642,6.540687987580895,4,2,142,470.1793087879196,0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
240,6.174826994538307,adaptive_fishdbc_async_risk_flush,240,240,223,0,0,0,0,220,0,0,970.850108191371,7.821087958291173,4,2,220,930.9930586023256,0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
320,7.691905018873513,finalize,320,320,305,0,0,0,0,300,0,0,1675.8341210661456,20.361684961244464,4,2,299,1587.615036405623,8,0.915625,1.0,0.915625,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
