step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.007109949365258217,tradeoff_warmup,6,6,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,139.30232205893844,tradeoff_initial_full,12,12,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.09048404172062874,tradeoff_cached_assign,18,18,3,0,11,5,3,0,5,3,0.4444444444444444,0.8,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.02962962962962963,0.5555555555555556,0.38256658595641646,0.7002929637576083
24,0.058252946473658085,tradeoff_cached_assign,24,24,4,0,29,11,4,0,11,3,0.5,0.6,0.5833333333333334,0.3333333333333333,0.7222222222222222,0.21666666666666667,0.8333333333333334,0.3475177304964539,0.6666666666666666
30,0.101325917057693,tradeoff_cached_assign,30,30,6,0,57,17,6,0,17,5,0.7,0.9545454545454546,0.7333333333333333,0.875,0.5833333333333334,0.013333333333333334,0.7333333333333333,0.5972222222222222,0.7803275407639991
