step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.81013108137995,incremental_mst_cluster,6,6,6,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.7429799772799015,incremental_mst_cluster,12,12,12,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,2.2461959160864353,incremental_mst_cluster,18,18,18,0,0,0,0,0,0,2,0.3333333333333333,0.4,0.4444444444444444,0.18840579710144928,0.7222222222222222,0.4148148148148148,0.8333333333333334,0.15136876006441224,0.49290132379522683
24,2.5515700690448284,incremental_mst_cluster,24,24,24,0,0,0,0,0,0,5,0.7083333333333334,0.9444444444444444,0.75,0.875,0.5833333333333334,0.0125,0.75,0.5835010060362174,0.7807512922849872
30,3.0967090278863907,incremental_mst_cluster,30,30,30,0,0,0,0,0,0,5,0.7333333333333333,1.0,0.7666666666666667,1.0,0.6333333333333333,0.0,0.7333333333333333,0.7216890595009597,0.8487701009921764
