step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.1401820918545127,adaptive_fishdbc_async_risk_flush,80,80,30,0,290,39,0,21,39,0,109.14528032299131,8.542808005586267,4,2,5,0.675,0.9,0.7125,0.8045325779036827,0.7263427109974424,0.024918743228602384,0.75,0.6498357219803278,0.7999073897476447
160,0.14345406088978052,adaptive_fishdbc_async_buffer,160,160,54,0,898,112,0,28,112,0,337.59042352903634,14.869967941194773,4,2,8,0.89375,1.0,0.89375,1.0,0.7955128205128205,0.0,0.89375,0.8341826364692219,0.8719336561814763
240,0.3475230187177658,adaptive_fishdbc_async_buffer,240,240,75,0,1538,188,0,32,188,0,632.496892591007,20.157429040409625,4,2,8,0.9208333333333333,1.0,0.9208333333333333,1.0,0.8454935622317596,0.0,0.9208333333333333,0.8847949714692149,0.9006655839578745
320,0.27404201682657003,finalize,320,320,99,0,2178,261,0,39,261,0,994.8540094774216,20.157429040409625,4,3,8,0.915625,1.0,0.915625,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
