step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.3637049812823534,adaptive_fishdbc_async_buffer,80,80,26,0,414,48,0,12,48,0,319.40335815306753,27.388212038204074,4,1,8,0.9625,1.0,0.9625,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
160,0.9948340011760592,adaptive_fishdbc_async_buffer,160,160,50,0,1005,118,0,22,118,0,756.319314124994,36.229043966159225,4,1,7,0.8375,0.9054054054054054,0.8375,0.7988023952095809,0.8551282051282051,0.030107526881720432,0.925,0.7881672363923219,0.8748462550345466
240,0.9022930171340704,adaptive_fishdbc_async_buffer,240,240,71,0,1645,194,0,26,194,0,1250.775573309511,36.229043966159225,4,2,8,0.9291666666666667,1.0,0.9291666666666667,1.0,0.8629470672389127,0.0,0.9291666666666667,0.8998091854331832,0.9087065307399989
320,0.66500308457762,finalize,320,320,95,0,2285,268,0,32,268,0,1763.520976062864,38.91739691607654,4,2,8,0.915625,1.0,0.915625,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
