step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,4.405045998282731,fused_recluster,20,80,80,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0.5,0.6779661016949152,0.525,0.5918367346938775,0.725,0.15833333333333333,0.7375,0.6901264732590033,0.8202163935872698
160,4.436368006281555,fused_recluster,20,160,160,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
240,3.2885409891605377,fused_recluster,20,240,240,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.5,0.8633093525179856,0.5125,0.8265531378114159,0.5159448818897637,0.023305084745762712,0.5791666666666667,0.6959189966870654,0.8479325513613372
320,3.212293959222734,finalize,20,320,320,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0.4375,0.5882352941176471,0.453125,0.5314280463150156,0.7376275510204081,0.1180324074074074,0.74375,0.626973222386589,0.7759438704725594
