step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.007695984095335007,adaptive_fishdbc_batch_warmup,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.704550977796316,adaptive_fishdbc_batch_initial_refresh,12,12,1,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.08506700396537781,adaptive_fishdbc_batch_buffer,18,18,6,0,11,1,0,5,1,0,3,0.4444444444444444,0.8,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.02962962962962963,0.5555555555555556,0.38256658595641646,0.7002929637576083
24,2.0900750532746315,adaptive_fishdbc_batch_flush,24,24,10,0,29,6,0,6,6,0,5,0.7083333333333334,0.9444444444444444,0.75,0.875,0.5833333333333334,0.0125,0.75,0.5835010060362174,0.7807512922849872
30,4.229063983075321,adaptive_fishdbc_batch_flush,30,30,13,0,59,11,0,7,11,0,5,0.7333333333333333,1.0,0.7666666666666667,1.0,0.6333333333333333,0.0,0.7333333333333333,0.7216890595009597,0.8487701009921764
