step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,12.257211958058178,sc_pna_full_recluster,80,80,80,0,85320,0,0,0,0,0,916.673259169329,46.96305695688352,0,0,0,0.0,2,0.35,0.35,0.35,0.2205949656750572,0.9757085020242915,0.6387846961740435,1.0,0.14071344535949742,0.3857201947321006
160,107.38675901666284,sc_pna_full_recluster,160,160,160,0,682640,0,0,0,0,0,7819.320026435889,142.28583103977144,0,0,0,0.0,2,0.3375,0.3375,0.3375,0.22783300198807158,0.8369036027263875,0.5462216388524282,1.0,0.13980112051643598,0.3016552091583955
240,149.91480304161087,sc_pna_full_recluster,240,240,240,0,2303960,0,0,0,0,0,20040.992701251525,334.9769850028679,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2262305263702707,0.933974358974359,0.6229166666666667,1.0,0.13768558174463688,0.3393278004197328
300,221.51545895030722,finalize,300,300,300,0,4499950,0,0,0,0,0,39929.06644626055,975.6691890070215,0,0,0,0.0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22896963663514186,0.8761904761904762,0.5782933333333333,1.0,0.1394440640246512,0.3081656626657201
