step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.5209560040384531,adaptive_fishdbc_async_buffer,80,80,26,0,443,49,0,11,49,0,289.74412695970386,19.89624695852399,4,1,8,0.9625,1.0,0.9625,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
160,1.1813580058515072,adaptive_fishdbc_async_buffer,160,160,50,0,1026,120,0,20,120,0,745.1565390219912,27.92399504687637,4,1,7,0.83125,0.9047619047619048,0.83125,0.7968561064087062,0.8448717948717949,0.030107526881720432,0.91875,0.7802711239799948,0.8705734582091361
240,0.566834001801908,adaptive_fishdbc_async_buffer,240,240,71,0,1666,196,0,24,196,0,1242.7402330795303,62.230595969595015,4,2,8,0.9291666666666667,1.0,0.9291666666666667,1.0,0.8629470672389127,0.0,0.9291666666666667,0.8998091854331832,0.9087065307399989
320,1.3435079017654061,finalize,320,320,95,0,2306,270,0,30,270,0,1871.2826586561278,62.230595969595015,4,2,8,0.915625,1.0,0.915625,1.0,0.8381410256410257,0.0,0.915625,0.8780647209586576,0.8960183334134636
