step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,79.95565689634532,fast_full_recluster,6,6,6,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93.56287308037281,fast_full_recluster,12,12,12,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,143.5951259918511,fast_full_recluster,18,18,18,0,2,0.3333333333333333,0.4,0.4444444444444444,0.18840579710144928,0.7222222222222222,0.4148148148148148,0.8333333333333334,0.15136876006441224,0.49290132379522683
24,155.90780996717513,fast_full_recluster,24,24,24,0,5,0.7083333333333334,0.9444444444444444,0.75,0.875,0.5833333333333334,0.0125,0.75,0.5835010060362174,0.7807512922849872
30,83.49083899520338,fast_full_recluster,30,30,30,0,5,0.7333333333333333,1.0,0.7666666666666667,1.0,0.6333333333333333,0.0,0.7333333333333333,0.7216890595009597,0.8487701009921764
