step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.5043369601480663,adaptive_fishdbc_async_risk_flush,80,80,41,0,107,27,0,33,27,0,177.59569990448654,14.197892975062132,4,1,0,0.0,3,0.35,0.7567567567567568,0.3875,0.524822695035461,0.29959514170040485,0.05026256564141035,0.4625,0.22277416889568208,0.4412010826172294
160,0.3354410291649401,adaptive_fishdbc_async_buffer,160,160,64,0,399,99,0,41,99,0,563.0177238490433,41.282065969426185,4,4,0,0.0,3,0.49375,0.4968553459119497,0.5,0.32667973623240065,0.8924050632911392,0.3542096381023814,0.99375,0.3167482645659947,0.5813463495134483
240,0.19665900617837906,adaptive_fishdbc_async_buffer,240,240,85,0,827,177,0,43,177,0,1023.0341908754781,41.282065969426185,4,4,0,0.0,6,0.8,0.803347280334728,0.8041666666666667,0.7323519571763132,0.9354700854700855,0.06666666666666667,0.9958333333333333,0.7815555954940417,0.8947719793357392
300,0.26879797223955393,finalize,300,300,101,0,1232,237,0,43,237,0,1437.8826108877547,41.282065969426185,4,4,0,0.0,9,0.92,0.92,0.92,0.9844207928428197,0.8682993197278912,0.002693333333333333,1.0,0.9086959788135799,0.929430109396579
