step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.9390480117872357,window_recluster,6,6,6,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9449729695916176,window_recluster,12,12,12,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,1.1847849236801267,window_recluster,18,18,18,0,0,0,0,0,0,2,0.3333333333333333,0.4,0.4444444444444444,0.18840579710144928,0.7222222222222222,0.4148148148148148,0.8333333333333334,0.15136876006441224,0.49290132379522683
24,1.206565066240728,window_recluster,20,20,24,0,0,0,0,0,0,4,0.6,0.9230769230769231,0.7,0.8,0.5,0.018072289156626505,0.65,0.44995864350703063,0.7353924911501621
30,1.736380043439567,window_recluster,20,20,30,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
