step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,13.750805985182524,sc_pna_full_recluster,80,80,80,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
160,123.93696396611631,sc_pna_full_recluster,160,160,160,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
240,289.34854292310774,sc_pna_full_recluster,240,240,240,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
320,167.5361969973892,sc_pna_full_recluster,320,320,320,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
400,245.5677870893851,sc_pna_full_recluster,400,400,400,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.9,0.9,0.9,0.8116598701102552,0.9951851851851852,0.05882075471698113,1.0,0.863598974911763,0.8527106041277657
480,1414.3325879704207,sc_pna_full_recluster,480,480,480,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6993621789346665,0.9866245136186771,0.0923728813559322,1.0,0.7704784055993701,0.7918019127051809
560,271.9378100009635,sc_pna_full_recluster,560,560,560,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6303142329020333,0.9811041990668741,0.11314984709480122,1.0,0.7093745185829543,0.7731737343752001
640,279.82007595710456,finalize,640,640,640,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.75,0.75,0.75,0.5784183683001102,0.9773042929292929,0.1305902777777778,1.0,0.6606732246834683,0.7619884819638951
