step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.052382005378603935,adaptive_fishdbc_async_warmup,6,6,1,0,0,0,0,0,0,0,4.572998033836484,4.572998033836484,4,1,2,0.11449505109339952,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1211860217154026,adaptive_fishdbc_async_warmup,12,12,3,0,0,0,0,0,0,0,9.175679995678365,4.572998033836484,4,1,2,0.11449505109339952,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.5401429953053594,adaptive_fishdbc_async_buffer,18,18,8,0,11,1,0,5,1,0,35.96876095980406,7.812271011061966,4,1,2,0.11449505109339952,3,0.4444444444444444,0.8,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.02962962962962963,0.5555555555555556,0.38256658595641646,0.7002929637576083
24,0.46112609561532736,adaptive_fishdbc_async_buffer,24,24,10,0,31,6,0,6,6,0,58.88091796077788,13.588828034698963,4,1,3,0.17177010886371136,4,0.625,0.75,0.7083333333333334,0.49019607843137253,0.6944444444444444,0.10833333333333334,0.8333333333333334,0.4752365052865888,0.7363567277305623
30,0.6408740300685167,finalize,30,30,12,0,59,11,0,7,11,0,88.15186703577638,18.124515074305236,4,1,4,0.2305471571162343,5,0.7333333333333333,1.0,0.7666666666666667,1.0,0.6333333333333333,0.0,0.7333333333333333,0.7216890595009597,0.8487701009921764
