step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,1.3015660224482417,approx_predict,80,80,1,60,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
160,1.864203019067645,approx_predict,160,160,1,140,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
240,1.9992429297417402,approx_predict,240,240,1,220,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
320,0.8933020289987326,approx_predict,320,320,1,300,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
400,0.43838401325047016,approx_predict,400,400,1,380,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.9,0.9917355371900827,0.91,0.9834284662124839,0.9890740740740741,0.0042452830188679245,0.9075,0.9695128808958204,0.9464043342373336
480,0.4831888945773244,approx_predict,480,480,1,460,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.8333333333333334,0.9828009828009828,0.8416666666666667,0.9656769538296524,0.963375486381323,0.007457627118644068,0.8479166666666667,0.9204740943762602,0.9067628083752924
560,2.4175039725378156,approx_predict,560,560,1,540,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.7857142857142857,0.9777777777777777,0.7928571428571428,0.9559122227089888,0.933203732503888,0.008463302752293579,0.8035714285714286,0.8739102593828018,0.8870752042415404
640,2.5327500188723207,finalize,640,640,1,620,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.75,0.975609756097561,0.75625,0.9515409705118818,0.9024621212121212,0.008425925925925925,0.76875,0.8321187921841903,0.8720736420351876
