step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,4.402685037348419,incremental_mst_cluster,80,80,80,0,3237,0,0,0,0,0,312.2349940240383,6.1149150133132935,0,0,0,0.0,8,0.9375,1.0,0.9375,1.0,0.8737113402061856,0.0,0.9375,0.9124822165729879,0.9346856839185612
160,4.741992044728249,incremental_mst_cluster,160,160,160,0,12877,0,0,0,0,0,644.6611189749092,6.388921989127994,0,0,0,0.0,8,0.91875,1.0,0.91875,1.0,0.8372395833333334,0.0,0.91875,0.880182735274602,0.9053173440329075
240,6.080302991904318,incremental_mst_cluster,240,240,240,0,28917,0,0,0,0,0,1113.5349360411055,10.025442985352129,0,0,0,0.0,8,0.8666666666666667,0.9952153110047847,0.8666666666666667,0.9910581222056631,0.7626146788990825,0.000952683391552874,0.8708333333333333,0.8025907037803672,0.8575154941223931
320,9.154065977782011,finalize,320,320,320,0,51357,0,0,0,0,0,1757.9952685628086,12.68857397371903,0,0,0,0.0,8,0.9,0.9965397923875432,0.9,0.9937304075235109,0.8128205128205128,0.0007142857142857143,0.903125,0.8544121578701163,0.8823535431591235
