interval_ms,method,decision_mean_ms,decision_p95_ms,maintenance_ms_total,maintenance_ms_max,max_pending,recompute_count,acc,ari,nmi,false_merge_rate
1,adaptive_fishdbc_async,0.3235034380388391,1.9339661812409754,998.5424802871421,18.857270944863558,4,132,0.915625,0.8780647209586576,0.8960183334134636,0.0
1,fishdbc,4.819622567305954,8.920562337152658,0.0,0.0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
5,adaptive_fishdbc_async,0.48842904746217136,0.8894679951481462,1225.3821715712547,23.299064952880144,4,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
5,fishdbc,6.1717970493077345,10.330706543754786,0.0,0.0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
10,adaptive_fishdbc_async,0.6386005103611461,1.1890487978234858,1719.4540437776595,34.978240029886365,4,94,0.915625,0.8780647209586576,0.8960183334134636,0.0
10,fishdbc,7.899966036906717,11.880900268442923,0.0,0.0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
20,adaptive_fishdbc_async,0.732834999402839,1.4135140343569201,1811.6988878464326,42.86747192963958,4,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
20,fishdbc,6.5777241843562795,10.561172070447352,0.0,0.0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
