step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.3642659867182374,adaptive_fishdbc_async_buffer,80,80,26,0,442,49,0,11,49,0,92.03513595275581,7.182247005403042,4,2,0,0.0,8,0.95,1.0,0.95,1.0,0.8849104859335039,0.0,0.95,0.9252924806138716,0.9508842868517982
160,0.2386419801041484,adaptive_fishdbc_async_buffer,160,160,49,0,1046,125,0,15,125,0,372.23059381358325,26.876779971644282,4,8,2,22.406745003536344,8,0.9125,1.0,0.9125,1.0,0.8269230769230769,0.0,0.9125,0.8681917053364269,0.8954476029788926
240,0.18532999092712998,adaptive_fishdbc_async_buffer,240,240,70,0,1686,201,0,19,201,0,723.8905358826742,26.876779971644282,4,8,2,22.406745003536344,8,0.9291666666666667,1.0,0.9291666666666667,1.0,0.8620886981402003,0.0,0.9291666666666667,0.8989196587294256,0.9079396589490937
320,0.5511930212378502,finalize,320,320,94,0,2326,275,0,25,275,0,1195.0076179928146,26.876779971644282,4,8,10,133.56633007060736,8,0.9375,1.0,0.9375,1.0,0.8790064102564102,0.0,0.9375,0.9149836149048532,0.9202709233656893
