interval_ms,method,decision_mean_ms,decision_p95_ms,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,recompute_count,acc,ari,nmi,false_merge_rate
0.0,adaptive_fishdbc_async,4.632728060832989,10.773212451022115,1600.032457150519,12.889708043076098,4,8,305,0.915625,0.8780647209586576,0.8960183334134636,0.0
0.0,fishdbc,4.7755596865856065,8.834684744942933,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
1.0,adaptive_fishdbc_async,0.21948437148056996,0.3158247447572647,939.346392871812,19.4552670000121,4,3,99,0.915625,0.8780647209586576,0.8960183334134636,0.0
1.0,fishdbc,4.791261054222183,8.754785044584423,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
5.0,adaptive_fishdbc_async,0.36492369314334516,0.6838792469352484,1236.6448503453285,26.506345020607114,4,3,96,0.915625,0.8780647209586576,0.8960183334134636,0.0
5.0,fishdbc,5.60309127926371,9.868471045047043,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
10.0,adaptive_fishdbc_async,0.5900116332990576,1.1911524692550253,1545.236686943099,39.53518997877836,4,2,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
10.0,fishdbc,7.169129612321344,10.186321649234742,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
20.0,adaptive_fishdbc_async,0.588154926790993,1.3167479773983344,1530.9322261018679,47.279000049456954,4,1,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
20.0,fishdbc,9.385591910036753,15.939926658757031,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
