seed,method,interval_ms,decision_mean_ms,decision_p95_ms,maintenance_ms_total,max_queue_depth,recompute_count,acc,ari,nmi,false_merge_rate
20260910,adaptive_fishdbc_async,5.0,0.3424060850646522,0.5714108119718727,1123.9718600409105,2,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
20260910,fishdbc,5.0,5.675778103858046,9.141364053357389,0.0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
20260911,adaptive_fishdbc_async,5.0,0.31248179591351355,0.5298499367199828,1154.6553830849007,2,90,0.9,0.8544121578701163,0.8823535431591235,0.0007142857142857143
20260911,fishdbc,5.0,5.085097410173089,8.753554406575857,0.0,0,320,0.9,0.8544121578701163,0.8823535431591235,0.0007142857142857143
20260912,adaptive_fishdbc_async,5.0,0.29211151661777573,0.43041445314884136,1053.4273941302672,2,91,0.878125,0.8138828547470173,0.8627839522678968,0.0
20260912,fishdbc,5.0,5.634010965033759,9.241866273805499,0.0,0,320,0.878125,0.8138828547470173,0.8627839522678968,0.0
20260913,adaptive_fishdbc_async,5.0,0.36081181967566756,0.6403334555216124,1033.0952149815857,2,92,0.884375,0.8405157002796553,0.8879811991935851,0.0
20260913,fishdbc,5.0,5.765877030191353,9.773769532330334,0.0,0,320,0.884375,0.8405157002796553,0.8879811991935851,0.0
20260914,adaptive_fishdbc_async,5.0,0.5384533163189281,1.9207394216209506,1207.5383556075394,2,94,0.771875,0.7096243143845752,0.8095065982961173,0.02580357142857143
20260914,fishdbc,5.0,5.696894940015127,9.579017444048077,0.0,0,320,0.771875,0.7096243143845752,0.8095065982961173,0.02580357142857143
