step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.009738956578075886,tradeoff_warmup,6,6,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,122.64418601989746,tradeoff_initial_full,12,12,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.04273001104593277,tradeoff_cached_assign,18,18,2,0,10,5,2,0,5,0,0.0,0.0,0,0,0,0.0,2,0.2777777777777778,0.4166666666666667,0.5,0.16666666666666666,0.2777777777777778,0.18518518518518517,0.6666666666666666,0.026936026936026935,0.28657289995073243
24,0.050609931349754333,tradeoff_cached_assign,24,24,2,0,22,11,2,0,11,0,0.0,0.0,0,0,0,0.0,2,0.2916666666666667,0.3888888888888889,0.4583333333333333,0.2054794520547945,0.4166666666666667,0.24166666666666667,0.75,0.08950086058519793,0.29833813276316773
30,0.10310206562280655,finalize,30,30,3,0,37,17,3,0,17,0,0.0,0.0,0,0,0,0.0,5,0.7,0.9545454545454546,0.7333333333333333,0.875,0.5833333333333334,0.013333333333333334,0.7333333333333333,0.5972222222222222,0.7803275407639991
