step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,3.8545839488506317,fused_recluster,20,80,80,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0.5,0.6779661016949152,0.525,0.5918367346938775,0.725,0.15833333333333333,0.7375,0.6901264732590033,0.8202163935872698
160,4.149663029238582,fused_recluster,20,160,160,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
240,4.526361939497292,fused_recluster,20,240,240,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
320,3.57719708699733,fused_recluster,20,320,320,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
400,3.5314790438860655,fused_recluster,20,400,400,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0.45,0.45226130653266333,0.455,0.3272564681015385,0.9939506172839506,0.5204559748427673,0.995,0.26914803674982407,0.49528743913599904
480,3.6331609589979053,fused_recluster,20,480,480,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0.625,0.6550218340611353,0.63125,0.5346024400504839,0.9889105058365759,0.1875,0.9541666666666667,0.6061078573474801,0.7760318006630592
560,4.483620054088533,fused_recluster,20,560,560,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,0.30357142857142855,0.8542713567839196,0.3125,0.8931335216803833,0.28269828926905133,0.006651376146788991,0.35535714285714287,0.36560554573154574,0.6813297668388815
640,4.71766700502485,finalize,20,640,640,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2,0.25,0.5,0.2578125,0.3960001010075503,0.49501262626262627,0.13842013888888888,0.5,0.3684409782011987,0.6065064857419512
