step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.008634058758616447,tradeoff_warmup,6,6,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,138.72681302018464,tradeoff_initial_full,12,12,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.044313957914710045,tradeoff_cached_assign,18,18,2,0,10,5,2,0,5,2,0.2777777777777778,0.4166666666666667,0.5,0.16666666666666666,0.2777777777777778,0.18518518518518517,0.6666666666666666,0.026936026936026935,0.28657289995073243
24,0.08863001130521297,tradeoff_cached_assign,24,24,3,0,25,11,3,0,11,3,0.5,0.6,0.5833333333333334,0.3333333333333333,0.7222222222222222,0.21666666666666667,0.8333333333333334,0.3475177304964539,0.6666666666666666
30,0.12657302431762218,tradeoff_cached_assign,30,30,4,0,45,17,4,0,17,5,0.7,0.9545454545454546,0.7333333333333333,0.875,0.5833333333333334,0.013333333333333334,0.7333333333333333,0.5972222222222222,0.7803275407639991
