step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,3.427326970268041,ahc_full_recluster,80,80,80,0,85320,0,0,0,0,0,168.75036800047383,4.818496003281325,0,0,0,0.0,18,0.6375,0.6375,0.6375,1.0,0.52834008097166,0.0,1.0,0.6539927027743367,0.8163421506221232
160,6.126135995145887,ahc_full_recluster,160,160,160,0,682640,0,0,0,0,0,468.5437976731919,7.372120977379382,0,0,0,0.0,22,0.675,0.675,0.675,0.9982638888888888,0.5598831548198637,0.00018751171948246765,1.0,0.6803054069385005,0.8039279811567501
240,2.950375957880169,ahc_full_recluster,240,240,240,0,2303960,0,0,0,0,0,689.8649235372432,7.372120977379382,0,0,0,0.0,21,0.6958333333333333,0.6958333333333333,0.6958333333333333,0.9993176390310474,0.6258547008547009,8.333333333333333e-05,1.0,0.7365668371257492,0.8232824390322345
320,4.380411992315203,ahc_full_recluster,320,320,320,0,5461280,0,0,0,0,0,997.1639635623433,7.372120977379382,0,0,0,0.0,24,0.678125,0.678125,0.678125,0.9994054696789536,0.6022211607356103,7.03135986499789e-05,1.0,0.7165985802109708,0.815348973925152
400,6.086047971621156,ahc_full_recluster,400,400,400,0,10666600,0,0,0,0,0,1429.2495573172346,7.372120977379382,0,0,0,0.0,26,0.695,0.695,0.695,0.9995032290114257,0.6127607735647936,6.000060000600006e-05,1.0,0.7253918090214241,0.812835528848127
480,8.492793946061283,ahc_full_recluster,480,480,480,0,18431920,0,0,0,0,0,2015.8294611610472,8.492793946061283,0,0,0,0.0,24,0.6958333333333333,0.6958333333333333,0.6958333333333333,0.9999158249158249,0.626529535864979,1.0416666666666666e-05,1.0,0.7369372764692927,0.8198074504209188
560,11.293626041151583,ahc_full_recluster,560,560,560,0,29269240,0,0,0,0,0,2813.2657930837013,14.645414019469172,0,0,0,0.0,25,0.6964285714285714,0.6964285714285714,0.6964285714285714,1.0,0.6298831902220159,0.0,1.0,0.7396833788083024,0.8221248955094241
600,12.978090031538159,finalize,600,600,600,0,35999900,0,0,0,0,0,3295.7465682993643,14.645414019469172,0,0,0,0.0,24,0.66,0.66,0.66,1.0,0.5906397306397306,0.0,1.0,0.7066365750611832,0.8127030328411571
