step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.25782902957871556,adaptive_fishdbc_async_buffer,80,80,26,0,443,49,0,11,49,0,89.18108098441735,7.061243988573551,4,1,0,0.0,8,0.9625,1.0,0.9625,1.0,0.9002557544757033,0.0,0.9625,0.939223464358697,0.9661133222966197
160,0.8746280218474567,adaptive_fishdbc_async_buffer,160,160,49,0,1042,125,0,15,125,0,513.3825747761875,38.76429796218872,4,2,1,0.054396979976445436,8,0.9375,1.0,0.9375,1.0,0.8762820512820513,0.0,0.9375,0.9116412762288014,0.9196488455009558
240,0.513208971824497,adaptive_fishdbc_async_buffer,240,240,69,0,1682,201,0,19,201,0,971.5339357499033,42.422641010489315,4,2,3,0.17184996977448463,8,0.9416666666666667,1.0,0.9416666666666667,1.0,0.8861230329041487,0.0,0.9416666666666667,0.9199120674215889,0.922364218692997
320,0.6695429910905659,finalize,320,320,94,0,2322,275,0,25,275,0,1536.4005957380868,42.422641010489315,4,2,3,0.17184996977448463,8,0.9375,1.0,0.9375,1.0,0.8790064102564102,0.0,0.9375,0.9149836149048532,0.9202709233656893
