step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,3.9845160208642483,window_recluster,20,20,80,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
160,3.938580979593098,window_recluster,20,20,160,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
240,3.9521920261904597,window_recluster,20,20,240,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.6,0.9230769230769231,0.8,0.8,0.75,0.017241379310344827,0.65,0.5210815765352887,0.8181995617215965
320,4.137164913117886,finalize,20,20,320,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4,0.6,0.6666666666666666,0.7,0.35,0.875,0.14942528735632185,0.9,0.421096869090145,0.7607156647529456
