step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,backpressure_count,backpressure_ms_total,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
80,0.304454006254673,adaptive_fishdbc_async_risk_flush,80,80,42,0,107,27,0,33,27,0,190.42415492003784,15.302395971957594,4,1,2,0.11366902617737651,3,0.3375,0.75,0.375,0.5197132616487455,0.2935222672064777,0.05026256564141035,0.45,0.21781066574445607,0.432818544587557
160,0.5359839997254312,adaptive_fishdbc_async_buffer,160,160,69,0,411,89,0,51,89,0,491.2081771180965,19.91564000491053,4,2,2,0.11366902617737651,4,0.3875,0.8985507246376812,0.4,0.7810578105781057,0.3091528724440117,0.016688543033939622,0.43125,0.2761671627293954,0.5249437947740847
240,0.3482520114630461,adaptive_fishdbc_async_buffer,240,240,92,0,842,157,0,63,157,0,878.5337690496817,30.56987503077835,4,2,2,0.11366902617737651,6,0.4166666666666667,0.7874015748031497,0.42083333333333334,0.6523452897122586,0.35363247863247865,0.03675,0.5291666666666667,0.31326290319096073,0.5348696118139046
300,1.1690050014294684,finalize,300,300,110,0,1253,211,0,69,211,0,1276.2262630858459,30.56987503077835,4,2,2,0.11366902617737651,9,0.46,0.9019607843137255,0.46,0.9820158929318277,0.31945578231292515,0.0011466666666666667,0.51,0.32447573736777097,0.5957582304173292
