interval_ms,method,decision_mean_ms,decision_p95_ms,maintenance_ms_total,maintenance_ms_max,max_pending,max_queue_depth,recompute_count,acc,ari,nmi,false_merge_rate
1,adaptive_fishdbc_async,0.3756536451842764,2.006837748922403,994.8540094774216,20.157429040409625,4,3,99,0.915625,0.8780647209586576,0.8960183334134636,0.0
1,fishdbc,4.906414586504729,8.672398584894836,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
5,adaptive_fishdbc_async,0.3903740808969148,0.7859790930524463,1167.0264098793268,25.296169915236533,4,2,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
5,fishdbc,5.493674008321706,9.183737623970954,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
10,adaptive_fishdbc_async,0.6426040610140861,1.2780229677446187,1763.520976062864,38.91739691607654,4,2,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
10,fishdbc,7.914866437204182,10.956611891742796,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
20,adaptive_fishdbc_async,0.8667058404097129,1.7128496430814253,1871.2826586561278,62.230595969595015,4,2,95,0.915625,0.8780647209586576,0.8960183334134636,0.0
20,fishdbc,12.365318832956955,17.523623874876645,0.0,0.0,0,0,320,0.915625,0.8780647209586576,0.8960183334134636,0.0
