step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.025502988137304783,tradeoff_warmup,6,6,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,122.86915897857398,tradeoff_initial_full,12,12,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.07983099203556776,tradeoff_cached_assign,18,18,6,0,11,1,6,4,1,3,0.4444444444444444,0.8,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.02962962962962963,0.5555555555555556,0.38256658595641646,0.7002929637576083
24,0.06806000601500273,tradeoff_cached_assign,24,24,7,0,31,6,7,5,6,4,0.625,0.75,0.7083333333333334,0.49019607843137253,0.6944444444444444,0.10833333333333334,0.8333333333333334,0.4752365052865888,0.7363567277305622
30,0.06703706458210945,tradeoff_cached_assign,30,30,8,0,59,11,8,6,11,5,0.7333333333333333,0.9565217391304348,0.7666666666666667,0.8837209302325582,0.6333333333333333,0.013333333333333334,0.7666666666666667,0.6614785992217899,0.805239207182306
