step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,distance_comparisons,cheap_update_count,full_trigger_count,uncertainty_count,local_update_count,fallback_full_count,maintenance_ms_total,maintenance_ms_max,max_pending,cluster_count,cluster_accuracy,cluster_accuracy_non_noise,cluster_accuracy_noise_singletons,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
6,0.04112697206437588,adaptive_fishdbc_async_warmup,6,6,1,0,0,0,0,0,0,0,0.7879969198256731,0.7879969198256731,4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.036949990317225456,adaptive_fishdbc_async_warmup,12,12,2,0,0,0,0,0,0,0,1.8533059628680348,1.0653090430423617,4,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,0.2365980762988329,adaptive_fishdbc_async_buffer,18,18,8,0,11,1,0,5,1,0,11.535396100953221,3.984729992225766,4,3,0.4444444444444444,0.8,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.02962962962962963,0.5555555555555556,0.38256658595641646,0.7002929637576083
24,0.3491200041025877,adaptive_fishdbc_async_buffer,24,24,10,0,31,6,0,6,6,0,29.126195004209876,15.069848974235356,4,4,0.625,0.75,0.7083333333333334,0.49019607843137253,0.6944444444444444,0.10833333333333334,0.8333333333333334,0.4752365052865888,0.7363567277305623
30,1.4651520177721977,finalize,30,30,13,0,55,9,0,9,9,0,64.99382108449936,15.069848974235356,4,5,0.7333333333333333,1.0,0.7666666666666667,1.0,0.6333333333333333,0.0,0.7333333333333333,0.7216890595009597,0.8487701009921764
